Video Title,Song Name,Song Date,Song Type,Featuring Artists,Number of Likes,Number of Views,Number of Comments
Sanfara - Face A Face (Clip Officiel),Sanfara - Face A Face (Clip Officiel),2021-01-19T16:08:54Z,Solo,[],171269,24971046,6065
Sanfara - Wakti Yejri (Clip Officiel),Sanfara - Wakti Yejri (Clip Officiel),2021-10-09T11:40:55Z,Solo,[],447801,62166266,9085
Sanfara - Fa9ou Beya (Audio Officiel) | فاقو بيّا,Sanfara - Fa9ou Beya (Audio Officiel) | فاقو بيّا,2020-05-09T18:20:55Z,Solo,[],283089,40317410,8436
Sanfara - Anseni (Official Audio) | أنساني,Sanfara - Anseni (Official Audio) | أنساني,2024-01-20T14:18:49Z,Solo,[],8324,327342,369
Sanfara - Qatra (Official Music Video) | قطرة,Sanfara - Qatra (Official Music Video) | قطرة,2024-05-23T12:29:08Z,Solo,[],28424,1894363,1236
Sanfara ft. A.L.A - JAY YEH (Clip Officiel),Sanfara ft. A.L.A - JAY YEH (Clip Officiel),2021-03-29T12:02:38Z,Featuring,A.L.A - JAY YEH (Clip Officiel),81210,9523499,1703
Sanfara - COIN EN ENFER (Clip Officiel),Sanfara - COIN EN ENFER (Clip Officiel),2021-03-25T13:41:32Z,Solo,[],24831,829691,1056
Sanfara ft. Manel Amara - MA TEBKICH (Clip Officiel),Sanfara ft. Manel Amara - MA TEBKICH (Clip Officiel),2021-03-27T11:58:42Z,Featuring,Manel Amara - MA TEBKICH (Clip Officiel),31965,1491739,1279
Sanfara - INTRO (Clip Officiel),Sanfara - INTRO (Clip Officiel),2021-03-21T16:58:34Z,Solo,[],47389,2170134,2293
Sanfara - ALLAH KHIR (Clip Officiel),Sanfara - ALLAH KHIR (Clip Officiel),2021-04-01T17:00:16Z,Solo,[],24270,1179196,712
Sanfara - Face A Face (Clip Officiel),Sanfara - Face A Face (Clip Officiel),2021-01-19T16:08:54Z,Solo,[],171269,24971046,6065
